#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:1903900	Regulation of viral life cycle	12	139	0.93	0.95	5.68e-05	9606.ENSP00000228928,9606.ENSP00000254436,9606.ENSP00000254950,9606.ENSP00000295927,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000371471,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000497271	OAS3,TRIM21,VPS4A,PTX3,ISG20,OAS2,ZNFX1,IFIT1,RSAD2,OAS1,PARP10,IFIH1
GO Process	GO:0009605	Response to external stimulus	52	2355	0.33	0.58	8.33e-05	9606.ENSP00000215794,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000256722,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000264498,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000332118,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000356562,9606.ENSP00000357883,9606.ENSP00000358081,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359829,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363068,9606.ENSP00000363973,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000400010,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	USP18,SLC15A3,OAS3,NMI,TRIM21,CMPK2,RTP4,DDX60L,HERC6,HERC5,FGF2,OTULIN,VCAM1,PTX3,ITGA2,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,EPHB3,OAS2,ATG7,PARP9,PTGS2,XPR1,PIP5K1A,BAG3,GBP5,GBP4,USP33,ZNFX1,IFIT1,IFIT3,PCDH15,ALPL,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,PTPRJ,IDO1,GSDMD,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0002376	Immune system process	48	2121	0.34	0.57	0.00014	9606.ENSP00000226279,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000233954,9606.ENSP00000241261,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000269389,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000332118,9606.ENSP00000333779,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363031,9606.ENSP00000366937,9606.ENSP00000371471,9606.ENSP00000378416,9606.ENSP00000379658,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000395294,9606.ENSP00000400010,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	CD38,SLC15A3,OAS3,IL1RL1,TNFSF10,NMI,TRIM21,HERC6,HERC5,SECTM1,OTULIN,VCAM1,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,EPHB3,EVI2B,OAS2,PARP9,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,THEMIS2,BTN3A2,RSAD2,ALAS1,ETV6,IRF9,MORC3,ARMC5,OAS1,CASP4,CD70,PTPRJ,IDO1,GSDMD,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0006950	Response to stress	65	3358	0.28	0.53	0.00014	9606.ENSP00000226279,9606.ENSP00000227638,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000254950,9606.ENSP00000255681,9606.ENSP00000259030,9606.ENSP00000259727,9606.ENSP00000259895,9606.ENSP00000260184,9606.ENSP00000261716,9606.ENSP00000264350,9606.ENSP00000264498,9606.ENSP00000269881,9606.ENSP00000275053,9606.ENSP00000284274,9606.ENSP00000285735,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000336829,9606.ENSP00000338887,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000354499,9606.ENSP00000356438,9606.ENSP00000356562,9606.ENSP00000358081,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000359829,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363031,9606.ENSP00000369129,9606.ENSP00000371471,9606.ENSP00000376317,9606.ENSP00000376865,9606.ENSP00000380073,9606.ENSP00000382382,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000434776,9606.ENSP00000444565,9606.ENSP00000464087,9606.ENSP00000476100,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	CD38,PANX1,SLC15A3,OAS3,NMI,TRIM21,VPS4A,MACROD1,RTP4,GMPR,GTF2H4,DDX60L,TAOK1,HERC5,FGF2,CALR3,MMS22L,OTULIN,RHOC,VCAM1,PTX3,ITGA2,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,FGG,LRRC8D,OAS2,ATG7,PARP9,MT-CO1,PTGS2,XPR1,BAG3,GBP5,GBP4,USP33,ZNFX1,IFIT1,IFIT3,THEMIS2,DSP,RSAD2,TAOK3,PDGFD,IRF9,USP47,MORC3,ARMC5,OAS1,CASP4,IDO1,GSDMD,PARP10,TMUB2,RNF213,GTF2H5,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0045824	Negative regulation of innate immune response	9	74	1.07	0.92	0.00015	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000280377,9606.ENSP00000298717,9606.ENSP00000388001,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,NMI,TRIM21,USP15,METTL3,OAS1,TNFAIP3,TREX1
GO Process	GO:0060759	Regulation of response to cytokine stimulus	12	163	0.86	0.82	0.00020	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000284274,9606.ENSP00000298717,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000497271	USP18,OAS3,OTULIN,METTL3,CSF1,TBK1,PARP9,OAS1,CASP4,TNFAIP3,TREX1,IFIH1
GO Process	GO:0006955	Immune response	34	1321	0.4	0.55	0.00063	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000233954,9606.ENSP00000241261,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264350,9606.ENSP00000269389,9606.ENSP00000284274,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000366937,9606.ENSP00000371471,9606.ENSP00000383333,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000395294,9606.ENSP00000433209,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	SLC15A3,OAS3,IL1RL1,TNFSF10,NMI,TRIM21,HERC5,SECTM1,OTULIN,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,PARP9,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,BTN3A2,RSAD2,MORC3,OAS1,CASP4,CD70,GSDMD,TREX1,IFIT2,IFIH1
GO Process	GO:0001959	Regulation of cytokine-mediated signaling pathway	11	152	0.85	0.73	0.00064	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000284274,9606.ENSP00000298717,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,OTULIN,METTL3,CSF1,TBK1,PARP9,OAS1,CASP4,TNFAIP3,TREX1
GO Process	GO:0032101	Regulation of response to external stimulus	28	964	0.45	0.57	0.00064	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000233954,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264350,9606.ENSP00000264498,9606.ENSP00000280377,9606.ENSP00000284274,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000336829,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000359488,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000376865,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,IL1RL1,NMI,TRIM21,HERC5,FGF2,USP15,OTULIN,ITGA2,TLR3,METTL3,CXCL10,FGB,CSF1,TBK1,FGG,PARP9,PTGS2,GBP5,ZNFX1,IFIT1,PDGFD,OAS1,CASP4,IDO1,TNFAIP3,TREX1
GO Process	GO:0031347	Regulation of defense response	22	638	0.53	0.6	0.00069	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000233954,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264350,9606.ENSP00000280377,9606.ENSP00000284274,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000359488,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,IL1RL1,NMI,TRIM21,HERC5,USP15,OTULIN,ITGA2,TLR3,METTL3,TBK1,PARP9,PTGS2,GBP5,ZNFX1,IFIT1,OAS1,CASP4,IDO1,TNFAIP3,TREX1
GO Process	GO:0045088	Regulation of innate immune response	13	238	0.73	0.65	0.0011	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000280377,9606.ENSP00000298717,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000360817,9606.ENSP00000388001,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,NMI,TRIM21,USP15,METTL3,TBK1,PARP9,GBP5,ZNFX1,OAS1,TNFAIP3,TREX1
GO Process	GO:0032479	Regulation of type I interferon production	9	103	0.93	0.69	0.0013	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000296795,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000497271	OAS3,NMI,TRIM21,TLR3,TBK1,OAS2,OAS1,TREX1,IFIH1
GO Process	GO:0060339	Negative regulation of type I interferon-mediated signaling pathway	5	19	1.41	0.71	0.0022	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000298717,9606.ENSP00000388001,9606.ENSP00000486676	USP18,OAS3,METTL3,OAS1,TREX1
GO Process	GO:0032648	Regulation of interferon-beta production	7	58	1.07	0.67	0.0023	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000296795,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000388001,9606.ENSP00000497271	OAS3,NMI,TLR3,TBK1,OAS2,OAS1,IFIH1
GO Process	GO:0009617	Response to bacterium	21	663	0.49	0.49	0.0035	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000256722,9606.ENSP00000264346,9606.ENSP00000294728,9606.ENSP00000296795,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000356438,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000363973,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570	USP18,OAS3,CMPK2,HERC6,VCAM1,TLR3,CXCL10,FGB,TBK1,OAS2,PTGS2,GBP5,GBP4,ZNFX1,ALPL,OAS1,CASP4,IDO1,GSDMD,RNF213,TNFAIP3
GO Process	GO:0060338	Regulation of type I interferon-mediated signaling pathway	6	40	1.17	0.64	0.0035	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000298717,9606.ENSP00000329967,9606.ENSP00000388001,9606.ENSP00000486676	USP18,OAS3,METTL3,TBK1,OAS1,TREX1
GO Process	GO:0002831	Regulation of response to biotic stimulus	15	361	0.61	0.53	0.0036	9606.ENSP00000215794,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264350,9606.ENSP00000280377,9606.ENSP00000298717,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000388001,9606.ENSP00000481570,9606.ENSP00000486676	USP18,OAS3,NMI,TRIM21,HERC5,USP15,METTL3,TBK1,PARP9,GBP5,ZNFX1,IFIT1,OAS1,TNFAIP3,TREX1
GO Process	GO:0032728	Positive regulation of interferon-beta production	6	41	1.15	0.63	0.0037	9606.ENSP00000228928,9606.ENSP00000296795,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000388001,9606.ENSP00000497271	OAS3,TLR3,TBK1,OAS2,OAS1,IFIH1
GO Process	GO:0050776	Regulation of immune response	24	844	0.44	0.47	0.0039	9606.ENSP00000215794,9606.ENSP00000226279,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000233954,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000280377,9606.ENSP00000284274,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000329967,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000360817,9606.ENSP00000363031,9606.ENSP00000366937,9606.ENSP00000371471,9606.ENSP00000388001,9606.ENSP00000400010,9606.ENSP00000430950,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000497271	USP18,CD38,SLC15A3,OAS3,IL1RL1,NMI,TRIM21,USP15,OTULIN,TLR3,METTL3,TBK1,PARP9,GBP5,ZNFX1,THEMIS2,BTN3A2,RSAD2,OAS1,PTPRJ,IDO1,TNFAIP3,TREX1,IFIH1
