#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006952	Defense response	37	1394	0.54	0.99	2.30e-08	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000478874,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,OASL,N4BP1,DTX3L,FADD,ISG20,MX2,LIPA,OAS2,PARP9,GBP4,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,BPGM,LGALS9,MX1,OAS1,PARP14,GSDMD,LGALS8,RNF213,NT5C3A,CAMK1D,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0006955	Immune response	35	1321	0.54	0.95	8.97e-08	9606.ENSP00000216416,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	CNIH1,SLC15A3,OAS3,NMI,DHX58,BST2,OASL,N4BP1,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RABGEF1,RSAD2,LGALS9,MX1,OAS1,PRKD2,PARP14,GSDMD,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0002831	Regulation of response to biotic stimulus	17	361	0.79	1.04	3.96e-06	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000257570,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,OASL,HLA-F,N4BP1,DTX3L,FADD,PARP9,IFIT1,DDX58,TRIM5,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0045824	Negative regulation of innate immune response	9	74	1.2	1.21	1.12e-05	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,HLA-F,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0002376	Immune system process	41	2121	0.4	0.68	1.34e-05	9606.ENSP00000216416,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000366395,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	CNIH1,SLC15A3,OAS3,NMI,DHX58,BST2,OASL,HLA-F,N4BP1,HERC6,DTX3L,FADD,ISG20,MX2,LIPA,OAS2,PARP9,GBP4,GBP1,IFI44,IFI44L,IFIT1,IFIT3,SYVN1,DDX58,TRIM5,RABGEF1,RSAD2,BPGM,LGALS9,MX1,OAS1,PRKD2,PARP14,GSDMD,RNF213,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0034340	Response to type I interferon	8	52	1.31	1.23	1.34e-05	9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS2,IFIT1,MX1,OAS1,IFITM2,TREX1,ISG15,MYD88
GO Process	GO:0006950	Response to stress	54	3358	0.32	0.61	1.74e-05	9606.ENSP00000216225,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000245185,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000262850,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000308236,9606.ENSP00000310042,9606.ENSP00000313921,9606.ENSP00000323511,9606.ENSP00000333266,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000353512,9606.ENSP00000355206,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000366395,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381266,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000400646,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000434024,9606.ENSP00000434776,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000478874,9606.ENSP00000480791,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	RBX1,SLC15A3,OAS3,NMI,MT2A,DHX58,BST2,OASL,N4BP1,RRAGB,DTX3L,FADD,ISG20,COMMD1,ZNF622,MSRA,PNKP,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,MT-ND3,GBP4,GBP1,IFI44L,IFIT1,IFIT3,SYVN1,DDX58,TRIM5,RSAD2,BPGM,LGALS9,WDR4,MX1,OAS1,PNPT1,PARP14,GSDMD,H2AX,PARP10,LGALS8,RNF213,NT5C3A,CAMK1D,FGF1,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0035455	Response to interferon-alpha	6	22	1.55	1.18	3.94e-05	9606.ENSP00000252593,9606.ENSP00000333657,9606.ENSP00000360876,9606.ENSP00000388001,9606.ENSP00000484689,9606.ENSP00000490935	BST2,MX2,IFIT3,OAS1,IFITM2,IFIT2
GO Process	GO:0045088	Regulation of innate immune response	13	238	0.86	0.94	4.17e-05	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,HLA-F,N4BP1,FADD,PARP9,TRIM5,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0032479	Regulation of type I interferon production	9	103	1.06	0.94	0.00012	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,OAS2,DDX58,OAS1,TREX1,ISG15,MYD88
GO Process	GO:0001817	Regulation of cytokine production	21	739	0.57	0.69	0.00018	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000301838,9606.ENSP00000342278,9606.ENSP00000359385,9606.ENSP00000359504,9606.ENSP00000369213,9606.ENSP00000370208,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381101,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000433209,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,BST2,HLA-F,N4BP1,FADD,OAS2,GLMN,GBP1,DDX58,RABGEF1,RSAD2,LGALS9,SERPINB7,OAS1,PRKD2,GSDMD,TREX1,ISG15,MYD88
GO Process	GO:0009605	Response to external stimulus	41	2355	0.36	0.56	0.00018	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000262850,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000379038,9606.ENSP00000381601,9606.ENSP00000384638,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,CMPK2,OASL,N4BP1,RRAGB,HERC6,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,BPGM,LGALS9,TYMP,MX1,CTNNA2,OAS1,PARP14,GSDMD,LGALS8,RNF213,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0035456	Response to interferon-beta	6	31	1.41	0.98	0.00019	9606.ENSP00000252593,9606.ENSP00000338348,9606.ENSP00000388001,9606.ENSP00000400646,9606.ENSP00000484689,9606.ENSP00000486676	BST2,UBE2G2,OAS1,PNPT1,IFITM2,TREX1
GO Process	GO:0032101	Regulation of response to external stimulus	24	964	0.51	0.65	0.00021	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000257570,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000327760,9606.ENSP00000353512,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000384638,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000418194,9606.ENSP00000478874,9606.ENSP00000480791,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,OASL,HLA-F,N4BP1,DTX3L,FADD,CLASP2,PARP9,IFIT1,DDX58,TRIM5,RABGEF1,LGALS9,CTNNA2,OAS1,PRKD2,PARP14,CAMK1D,FGF1,TREX1,ISG15,MYD88
GO Process	GO:0032648	Regulation of interferon-beta production	7	58	1.2	0.89	0.00031	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000496832	OAS3,NMI,DHX58,OAS2,DDX58,OAS1,ISG15
GO Process	GO:0050776	Regulation of immune response	22	844	0.53	0.64	0.00031	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000257570,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000356436,9606.ENSP00000359504,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000393978,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,OASL,HLA-F,N4BP1,FADD,PARP9,PLA2G4A,GBP1,DDX58,TRIM5,RABGEF1,RSAD2,LGALS9,OAS1,PRKD2,PARP14,TREX1,ISG15,MYD88
GO Process	GO:0032481	Positive regulation of type I interferon production	7	63	1.16	0.84	0.00048	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,DHX58,OAS2,DDX58,OAS1,ISG15,MYD88
GO Process	GO:0070106	interleukin-27-mediated signaling pathway	4	7	1.88	0.92	0.00048	9606.ENSP00000257570,9606.ENSP00000342278,9606.ENSP00000381601,9606.ENSP00000388001	OASL,OAS2,MX1,OAS1
GO Process	GO:0034097	Response to cytokine	21	804	0.54	0.62	0.00050	9606.ENSP00000243346,9606.ENSP00000245185,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000333657,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000400646,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	NMI,MT2A,BST2,OASL,MX2,UBE2G2,OAS2,GBP4,GBP1,IFIT1,IFIT3,RABGEF1,LGALS9,MX1,OAS1,PNPT1,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0032728	Positive regulation of interferon-beta production	6	41	1.28	0.84	0.00063	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000496832	OAS3,DHX58,OAS2,DDX58,OAS1,ISG15
GO Process	GO:0035458	Cellular response to interferon-beta	5	23	1.46	0.83	0.00086	9606.ENSP00000338348,9606.ENSP00000388001,9606.ENSP00000400646,9606.ENSP00000484689,9606.ENSP00000486676	UBE2G2,OAS1,PNPT1,IFITM2,TREX1
GO Process	GO:0071357	Cellular response to type I interferon	6	44	1.25	0.8	0.00086	9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000388001,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000498321	OAS2,IFIT1,OAS1,IFITM2,TREX1,MYD88
GO Process	GO:0031347	Regulation of defense response	18	638	0.57	0.59	0.00098	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000353512,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,HLA-F,N4BP1,DTX3L,FADD,PARP9,IFIT1,DDX58,TRIM5,RABGEF1,LGALS9,OAS1,PARP14,TREX1,ISG15,MYD88
GO Process	GO:0050777	Negative regulation of immune response	10	185	0.85	0.7	0.00098	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000259951,9606.ENSP00000370208,9606.ENSP00000378856,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000486676,9606.ENSP00000496832	OAS3,NMI,DHX58,HLA-F,RABGEF1,LGALS9,OAS1,PARP14,TREX1,ISG15
GO Process	GO:0044265	Cellular macromolecule catabolic process	20	786	0.52	0.56	0.0012	9606.ENSP00000216225,9606.ENSP00000263228,9606.ENSP00000264346,9606.ENSP00000287156,9606.ENSP00000296161,9606.ENSP00000306565,9606.ENSP00000333266,9606.ENSP00000338348,9606.ENSP00000342278,9606.ENSP00000345575,9606.ENSP00000354201,9606.ENSP00000366395,9606.ENSP00000400646,9606.ENSP00000414922,9606.ENSP00000417401,9606.ENSP00000421380,9606.ENSP00000464087,9606.ENSP00000486676,9606.ENSP00000495556,9606.ENSP00000496832	RBX1,UBE2R2,HERC6,UBE2L6,DTX3L,ISG20,UBA7,UBE2G2,OAS2,DNAJB12,UBE2Z,SYVN1,PNPT1,USP41,HELZ2,SNF8,RNF213,TREX1,TBL1X,ISG15
GO Process	GO:0060700	Regulation of ribonuclease activity	4	10	1.72	0.81	0.0012	9606.ENSP00000228928,9606.ENSP00000257570,9606.ENSP00000342278,9606.ENSP00000388001	OAS3,OASL,OAS2,OAS1
