#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006955	Immune response	34	1321	0.54	0.93	2.03e-07	9606.ENSP00000216416,9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345728,9606.ENSP00000346206,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000359783,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000364032,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000383996,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	CNIH1,UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,DTX3L,STAT2,APOBEC3B,MX2,OAS2,ATP7A,TAP1,PARP9,STAT1,IFI44,IFIT5,IFIT1,IFIT3,TAP2,DDX58,TRIM22,TRIM5,MX1,IFITM3,CERT1,OAS1,IFI35,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0051707	Response to other organism	34	1328	0.54	0.93	2.03e-07	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000294728,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000359783,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000364032,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,CMPK2,OASL,VCAM1,DTX3L,STAT2,APOBEC3B,MX2,OAS2,PARP9,STAT1,CNOT7,IFI44,IFIT5,IFIT1,IFIT3,TAP2,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFI35,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0034340	Response to type I interferon	9	52	1.37	1.55	5.69e-07	9606.ENSP00000253110,9606.ENSP00000315768,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000360869,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832	SHFL,STAT2,OAS2,STAT1,IFIT1,MX1,IFITM3,OAS1,ISG15
GO Process	GO:0006952	Defense response	33	1394	0.51	0.82	2.11e-06	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000294728,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000346206,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,VCAM1,DTX3L,STAT2,APOBEC3B,MX2,LIPA,OAS2,TAP1,PARP9,STAT1,CNOT7,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFI35,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0070106	interleukin-27-mediated signaling pathway	5	7	1.99	1.36	1.22e-05	9606.ENSP00000257570,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000381601,9606.ENSP00000388001	OASL,OAS2,STAT1,MX1,OAS1
GO Process	GO:0035455	Response to interferon-alpha	6	22	1.57	1.19	3.55e-05	9606.ENSP00000252593,9606.ENSP00000333657,9606.ENSP00000360876,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000490935	BST2,MX2,IFIT3,IFITM3,OAS1,IFIT2
GO Process	GO:0002831	Regulation of response to biotic stimulus	15	361	0.75	0.83	8.40e-05	9606.ENSP00000228928,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000369677,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000496832	OAS3,OASL,DTX3L,STAT2,PARP9,STAT1,CNOT7,IFIT1,DDX58,TRIM5,EMILIN1,OAS1,IFI35,PARP14,ISG15
GO Process	GO:0006950	Response to stress	51	3358	0.31	0.55	9.32e-05	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000259727,9606.ENSP00000272233,9606.ENSP00000275053,9606.ENSP00000294728,9606.ENSP00000296161,9606.ENSP00000303315,9606.ENSP00000304408,9606.ENSP00000308236,9606.ENSP00000309457,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000330032,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000345728,9606.ENSP00000346206,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000364699,9606.ENSP00000367284,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000378830,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000383996,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000401508,9606.ENSP00000416250,9606.ENSP00000417404,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,GMPR,RHOB,MMS22L,VCAM1,DTX3L,JUNB,COL3A1,COMMD1,VPS41,STAT2,APOBEC3B,UPP1,MX2,LIPA,OAS2,ATP7A,TAP1,PARP9,STAT1,MT-ND4,MT-ND3,CNOT7,IFIT5,IFIT1,IFIT3,SDHD,FUNDC1,DDX58,TRIM22,TRIM5,QRICH1,MX1,IFITM3,CERT1,ARMC5,OAS1,IFI35,NAPRT,EIF2B1,HFE,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0060339	Negative regulation of type I interferon-mediated signaling pathway	5	19	1.55	0.9	0.00050	9606.ENSP00000228928,9606.ENSP00000315768,9606.ENSP00000355279,9606.ENSP00000388001,9606.ENSP00000496832	OAS3,STAT2,CNOT7,OAS1,ISG15
GO Process	GO:0032481	Positive regulation of type I interferon production	7	63	1.18	0.84	0.00051	9606.ENSP00000228928,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,OAS2,STAT1,DDX58,OAS1,ISG15,IFIH1
GO Process	GO:0032728	Positive regulation of interferon-beta production	6	41	1.3	0.82	0.00072	9606.ENSP00000228928,9606.ENSP00000342278,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,OAS2,DDX58,OAS1,ISG15,IFIH1
GO Process	GO:0071357	Cellular response to type I interferon	6	44	1.27	0.79	0.0010	9606.ENSP00000315768,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000360869,9606.ENSP00000382707,9606.ENSP00000388001	STAT2,OAS2,STAT1,IFIT1,IFITM3,OAS1
GO Process	GO:0060700	Regulation of ribonuclease activity	4	10	1.74	0.78	0.0015	9606.ENSP00000228928,9606.ENSP00000257570,9606.ENSP00000342278,9606.ENSP00000388001	OAS3,OASL,OAS2,OAS1
GO Process	GO:0060759	Regulation of response to cytokine stimulus	9	163	0.88	0.61	0.0028	9606.ENSP00000228928,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000355279,9606.ENSP00000369213,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,STAT2,PARP9,CNOT7,DDX58,OAS1,PARP14,ISG15,IFIH1
GO Process	GO:0009605	Response to external stimulus	37	2355	0.33	0.43	0.0033	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000294728,9606.ENSP00000296161,9606.ENSP00000309457,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000330032,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000359783,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000364032,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000417404,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,CMPK2,OASL,VCAM1,DTX3L,VPS41,STAT2,APOBEC3B,UPP1,MX2,OAS2,PARP9,STAT1,CNOT7,IFI44,IFIT5,IFIT1,IFIT3,TAP2,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFI35,HFE,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0035456	Response to interferon-beta	5	31	1.34	0.67	0.0033	9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000354394,9606.ENSP00000382707,9606.ENSP00000388001	BST2,SHFL,STAT1,IFITM3,OAS1
GO Process	GO:0009165	Nucleotide biosynthetic process	11	276	0.73	0.54	0.0043	9606.ENSP00000256722,9606.ENSP00000316924,9606.ENSP00000330032,9606.ENSP00000353512,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000358719,9606.ENSP00000364699,9606.ENSP00000401264,9606.ENSP00000401508	CMPK2,ACSS1,UPP1,PARP9,MT-ND4,MT-ND3,SDHC,ME1,SDHD,CTPS2,NAPRT
GO Process	GO:0050776	Regulation of immune response	19	844	0.49	0.44	0.0079	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000257570,9606.ENSP00000303315,9606.ENSP00000304408,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000355279,9606.ENSP00000364032,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000416250,9606.ENSP00000417404,9606.ENSP00000418194,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,OASL,JUNB,COL3A1,STAT2,PARP9,CNOT7,TAP2,DDX58,TRIM5,OAS1,IFI35,EIF2B1,HFE,PARP14,ISG15,IFIH1
GO Process	GO:0060337	Type I interferon signaling pathway	5	42	1.21	0.54	0.0099	9606.ENSP00000315768,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000382707,9606.ENSP00000388001	STAT2,OAS2,STAT1,IFITM3,OAS1
GO Process	GO:0031347	Regulation of defense response	16	638	0.53	0.43	0.0100	9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000369677,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000482639,9606.ENSP00000496832	OAS3,KRT1,DTX3L,STAT2,PARP9,STAT1,CNOT7,IFIT1,DDX58,TRIM5,EMILIN1,OAS1,IFI35,PARP14,MGST2,ISG15
GO Process	GO:0055086	Nucleobase-containing small molecule metabolic process	15	567	0.56	0.44	0.0100	9606.ENSP00000256722,9606.ENSP00000259727,9606.ENSP00000301012,9606.ENSP00000316924,9606.ENSP00000327459,9606.ENSP00000330032,9606.ENSP00000353512,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000358719,9606.ENSP00000364699,9606.ENSP00000386597,9606.ENSP00000401264,9606.ENSP00000401508	CMPK2,GMPR,MVD,ACSS1,APOBEC3B,UPP1,PARP9,MT-ND4,MT-ND3,SDHC,ME1,SDHD,DPAGT1,CTPS2,NAPRT
GO Process	GO:0045824	Negative regulation of innate immune response	6	74	1.04	0.51	0.0104	9606.ENSP00000228928,9606.ENSP00000315768,9606.ENSP00000355279,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000496832	OAS3,STAT2,CNOT7,OAS1,PARP14,ISG15
GO Process	GO:0001960	Negative regulation of cytokine-mediated signaling pathway	6	75	1.04	0.51	0.0109	9606.ENSP00000228928,9606.ENSP00000315768,9606.ENSP00000355279,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000496832	OAS3,STAT2,CNOT7,OAS1,PARP14,ISG15
GO Process	GO:0034097	Response to cytokine	18	804	0.48	0.41	0.0119	9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000294728,9606.ENSP00000304408,9606.ENSP00000315768,9606.ENSP00000333657,9606.ENSP00000338788,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832	BST2,SHFL,OASL,VCAM1,COL3A1,STAT2,MX2,ZC3H15,OAS2,STAT1,IFIT1,IFIT3,MX1,IFITM3,OAS1,NUB1,IFIT2,ISG15
GO Process	GO:0140374	Antiviral innate immune response	4	22	1.39	0.51	0.0132	9606.ENSP00000360869,9606.ENSP00000369213,9606.ENSP00000381601,9606.ENSP00000388001	IFIT1,DDX58,MX1,OAS1
GO Process	GO:0019646	Aerobic electron transport chain	6	87	0.97	0.44	0.0211	9606.ENSP00000354554,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000364699,9606.ENSP00000467262	MT-CYB,MT-ND4,MT-ND3,SDHC,SDHD,UQCR11
GO Process	GO:0090407	Organophosphate biosynthetic process	14	551	0.54	0.37	0.0233	9606.ENSP00000256722,9606.ENSP00000301012,9606.ENSP00000316924,9606.ENSP00000330032,9606.ENSP00000353512,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000358719,9606.ENSP00000361667,9606.ENSP00000364699,9606.ENSP00000401264,9606.ENSP00000401508,9606.ENSP00000430548	CMPK2,MVD,ACSS1,UPP1,PARP9,MT-ND4,MT-ND3,SDHC,ME1,DOLK,SDHD,CTPS2,NAPRT,PTDSS1
GO Process	GO:0009117	Nucleotide metabolic process	13	493	0.55	0.36	0.0272	9606.ENSP00000256722,9606.ENSP00000259727,9606.ENSP00000301012,9606.ENSP00000316924,9606.ENSP00000330032,9606.ENSP00000353512,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000358719,9606.ENSP00000364699,9606.ENSP00000401264,9606.ENSP00000401508	CMPK2,GMPR,MVD,ACSS1,UPP1,PARP9,MT-ND4,MT-ND3,SDHC,ME1,SDHD,CTPS2,NAPRT
GO Process	GO:0042775	Mitochondrial ATP synthesis coupled electron transport	6	92	0.95	0.41	0.0272	9606.ENSP00000354554,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000356953,9606.ENSP00000364699,9606.ENSP00000467262	MT-CYB,MT-ND4,MT-ND3,SDHC,SDHD,UQCR11
GO Process	GO:0045088	Regulation of innate immune response	9	238	0.71	0.38	0.0272	9606.ENSP00000228928,9606.ENSP00000315768,9606.ENSP00000353512,9606.ENSP00000355279,9606.ENSP00000369373,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000496832	OAS3,STAT2,PARP9,CNOT7,TRIM5,OAS1,IFI35,PARP14,ISG15
GO Process	GO:0050777	Negative regulation of immune response	8	185	0.77	0.39	0.0272	9606.ENSP00000228928,9606.ENSP00000304408,9606.ENSP00000315768,9606.ENSP00000355279,9606.ENSP00000388001,9606.ENSP00000417404,9606.ENSP00000418194,9606.ENSP00000496832	OAS3,COL3A1,STAT2,CNOT7,OAS1,HFE,PARP14,ISG15
GO Process	GO:0034641	Cellular nitrogen compound metabolic process	44	3463	0.24	0.28	0.0372	9606.ENSP00000185206,9606.ENSP00000225729,9606.ENSP00000228928,9606.ENSP00000235090,9606.ENSP00000247003,9606.ENSP00000256722,9606.ENSP00000259239,9606.ENSP00000259727,9606.ENSP00000261304,9606.ENSP00000263956,9606.ENSP00000275053,9606.ENSP00000292476,9606.ENSP00000296161,9606.ENSP00000301012,9606.ENSP00000308236,9606.ENSP00000314023,9606.ENSP00000316924,9606.ENSP00000327459,9606.ENSP00000330032,9606.ENSP00000338788,9606.ENSP00000339532,9606.ENSP00000342278,9606.ENSP00000345728,9606.ENSP00000353512,9606.ENSP00000354961,9606.ENSP00000355206,9606.ENSP00000355279,9606.ENSP00000356953,9606.ENSP00000358719,9606.ENSP00000359489,9606.ENSP00000360231,9606.ENSP00000361219,9606.ENSP00000364699,9606.ENSP00000379836,9606.ENSP00000383996,9606.ENSP00000386597,9606.ENSP00000397435,9606.ENSP00000401264,9606.ENSP00000401508,9606.ENSP00000416250,9606.ENSP00000417401,9606.ENSP00000429065,9606.ENSP00000476386,9606.ENSP00000482639	CLIC5,DRG2,OAS3,WDR77,DDX49,CMPK2,IMP4,GMPR,GALC,GTF3C3,MMS22L,CPSF4,DTX3L,MVD,COMMD1,SIDT2,ACSS1,APOBEC3B,UPP1,ZC3H15,THUMPD3,OAS2,ATP7A,PARP9,MT-ND4,MT-ND3,CNOT7,SDHC,ME1,AFF2,NFIA,GTF3C4,SDHD,SLC30A5,CERT1,DPAGT1,TSC22D1,CTPS2,NAPRT,EIF2B1,HELZ2,INTS9,DCP1A,MGST2
